N,vol,time
77,1.747303009033203e-01,3.950000000000000e+02
78,1.748687744140625e-01,2.830000000000000e+02
79,1.747447967529297e-01,3.220000000000000e+02
80,1.748672485351563e-01,2.960000000000000e+02
81,1.747581481933594e-01,3.420000000000000e+02
82,1.748657226562500e-01,2.630000000000000e+02
83,1.747711181640625e-01,3.460000000000000e+02
84,1.748645782470703e-01,4.250000000000000e+02
85,1.747837066650390e-01,4.350000000000000e+02
86,1.748634338378906e-01,3.880000000000000e+02
87,1.747955322265625e-01,4.100000000000000e+02
88,1.748626708984375e-01,7.500000000000000e+02
89,1.748069763183594e-01,7.320000000000000e+02
90,1.748619079589844e-01,4.520000000000000e+02
91,1.748176574707031e-01,4.650000000000000e+02
92,1.748615264892578e-01,4.670000000000000e+02
93,1.748279571533203e-01,4.920000000000000e+02
94,1.748611450195313e-01,6.890000000000000e+02
95,1.748378753662110e-01,5.830000000000000e+02
96,1.748607635498047e-01,4.910000000000000e+02
97,1.748474121093750e-01,3.840000000000000e+02
98,1.748607635498047e-01,5.020000000000000e+02
99,1.748565673828125e-01,4.410000000000000e+02
100,1.748607635498047e-01,5.180000000000000e+02
101,1.748649597167969e-01,5.190000000000000e+02
102,1.748607635498047e-01,5.340000000000000e+02
103,1.748733520507813e-01,4.930000000000000e+02
104,1.748607635498047e-01,5.750000000000000e+02
105,1.748817443847656e-01,5.480000000000000e+02
106,1.748611450195313e-01,5.250000000000000e+02
107,1.748893737792969e-01,5.510000000000000e+02
108,1.748611450195313e-01,5.330000000000000e+02
109,1.748970031738282e-01,5.670000000000000e+02
110,1.748615264892578e-01,6.040000000000000e+02
111,1.749042510986328e-01,8.450000000000000e+02
112,1.748619079589844e-01,8.190000000000000e+02
113,1.749111175537109e-01,8.720000000000000e+02
114,1.748622894287109e-01,8.830000000000000e+02
115,1.749176025390625e-01,7.720000000000000e+02
116,1.748626708984375e-01,7.850000000000000e+02
117,1.749244689941407e-01,8.810000000000000e+02
118,1.748634338378906e-01,8.920000000000000e+02
119,1.749305725097656e-01,9.070000000000000e+02
120,1.748638153076172e-01,9.610000000000000e+02
121,1.749366760253906e-01,9.330000000000000e+02
122,1.748641967773437e-01,8.840000000000000e+02
123,1.749423980712891e-01,9.080000000000000e+02
124,1.748649597167969e-01,8.970000000000000e+02
125,1.749481201171875e-01,8.160000000000000e+02
126,1.748657226562500e-01,7.910000000000000e+02
127,1.749538421630860e-01,9.560000000000000e+02
128,1.748664855957031e-01,6.670000000000000e+02
129,1.749591827392578e-01,7.970000000000000e+02
130,1.748668670654297e-01,9.170000000000000e+02
131,1.749641418457031e-01,8.740000000000000e+02
132,1.748676300048828e-01,9.430000000000000e+02
133,1.749691009521485e-01,9.820000000000000e+02
134,1.748683929443360e-01,9.990000000000000e+02
135,1.749740600585938e-01,7.400000000000000e+02
